sale_month,total_orders,unique_customers,total_gmv,avg_item_price,mom_gmv_growth_pct
2016-09-01,3,3,267.36,44.56,
2016-10-01,308,308,49507.66,136.38,18417.23
2016-12-01,1,1,10.9,10.9,-99.98
2017-01-01,789,789,120312.87,125.98,1103687.8
2017-02-01,1733,1733,247303.02,126.76,105.55
2017-03-01,2641,2641,374344.3,124.78,51.37
2017-04-01,2391,2391,359927.23,134.1,-3.85
2017-05-01,3660,3660,506071.14,122.36,40.6
2017-06-01,3217,3217,433038.6,120.86,-14.43
2017-07-01,3969,3969,498031.48,110.21,15.01
2017-08-01,4293,4293,573971.68,116.9,15.25
2017-09-01,4243,4243,624401.69,129.25,8.79
2017-10-01,4568,4568,664219.43,124.81,6.38
2017-11-01,7451,7451,1010271.37,116.59,52.1
2017-12-01,5624,5624,743914.17,117.93,-26.36
2018-01-01,7220,7220,950030.36,115.74,27.71
2018-02-01,6694,6694,844178.71,110.03,-11.14
2018-03-01,7188,7188,983213.44,119.66,16.47
2018-04-01,6934,6934,996647.75,124.97,1.37
2018-05-01,6853,6853,996517.68,125.74,-0.01
2018-06-01,6160,6160,865124.31,122.23,-13.19
2018-07-01,6273,6273,895507.22,126.27,3.51
2018-08-01,6452,6452,854686.33,117.92,-4.56
2018-09-01,1,1,145.0,145.0,-99.98
